title;location;date;players;surface;court_type;prize;winner
Acapulco;Acapulco, Mexico;2018.02.26;32;Hard;Outdoor;$1,789,445;Juan Martin del Potro
Sao Paulo;Sao Paulo, Brazil;2018.02.26;28;Clay;Indoor;$582,870;Fabio Fognini
ATP World Tour Masters 1000 Indian Wells;Indian Wells, United States;2018.03.08;96;Hard;Outdoor;$8,909,960;Juan Martin del Potro
ATP World Tour Masters 1000 Miami;Miami, United States;2018.03.21;96;Hard;Outdoor;$8,909,960;John Isner
Houston;Houston, United States;2018.04.09;28;Clay;Outdoor;$623,710;Steve Johnson
Marrakech;Marrakech, Morocco;2018.04.09;32;Clay;Outdoor;€561,345;Pablo Andujar
ATP World Tour Masters 1000 Monte Carlo;Monte Carlo, Monaco;2018.04.15;56;Clay;Outdoor;€5,238,735;Rafael Nadal
Barcelona;Barcelona, Spain;2018.04.23;48;Clay;Outdoor;€2,794,220;Rafael Nadal
Budapest;Budapest, Hungary;2018.04.23;28;Clay;Outdoor;€561,345;Marco Cecchinato
Estoril;Estoril, Portugal;2018.04.30;28;Clay;Outdoor;€561,345;Joao Sousa
Munich;Munich, Germany;2018.04.30;28;Clay;Outdoor;€561,345;Alexander Zverev
Istanbul;Istanbul, Turkey;2018.04.30;28;Clay;Outdoor;€486,145;Taro Daniel
ATP World Tour Masters 1000 Madrid;Madrid, Spain;2018.05.06;56;Clay;Outdoor;€7,190,930;Alexander Zverev
ATP World Tour Masters 1000 Rome;Rome, Italy;2018.05.13;56;Clay;Outdoor;€5,444,985;Rafael Nadal
Lyon;Lyon, France;2018.05.20;28;Clay;Outdoor;€561,345;Dominic Thiem
Geneva;Geneva, Switzerland;2018.05.21;28;Clay;Outdoor;€561,345;Marton Fucsovics
Roland Garros;Paris, France;2018.05.27;128;Clay;Outdoor;€18,232,000;Rafael Nadal
Stuttgart;Stuttgart, Germany;2018.06.11;28;Grass;Outdoor;€729,340;Roger Federer
s-Hertogenbosch;s-Hertogenbosch, Netherlands;2018.06.11;28;Grass;Outdoor;€686,080;Richard Gasquet
Halle;Halle, Germany;2018.06.18;32;Grass;Outdoor;€2,116,915;Borna Coric
London / Queen's Club;London, Great Britain;2018.06.18;32;Grass;Outdoor;€2,116,915;Marin Cilic
Antalya;Antalya, Turkey;2018.06.24;28;Grass;Outdoor;€486,145;Damir Dzumhur
Eastbourne;Eastbourne, Great Britain;2018.06.25;28;Grass;Outdoor;€721,085;Mischa Zverev
Wimbledon;London, Great Britain;2018.07.02;128;Grass;Outdoor;£15,982,000;Novak Djokovic
Newport;Newport, United States;2018.07.16;28;Grass;Outdoor;$623,710;Steve Johnson
Bastad;Bastad, Sweden;2018.07.16;28;Clay;Outdoor;€561,345;Fabio Fognini
Umag;Umag, Croatia;2018.07.16;28;Clay;Outdoor;€561,345;Marco Cecchinato
Hamburg;Hamburg, Germany;2018.07.23;32;Clay;Outdoor;€1,753,255;Nikoloz Basilashvili
Atlanta;Atlanta, United States;2018.07.23;28;Hard;Outdoor;$748,450;John Isner
Gstaad;Gstaad, Switzerland;2018.07.23;28;Clay;Outdoor;€561,345;Matteo Berrettini
Washington;Washington, United States;2018.07.30;48;Hard;Outdoor;$2,146,815;Alexander Zverev
Los Cabos;Los Cabos, Mexico;2018.07.30;28;Hard;Outdoor;$808,770;Fabio Fognini
Kitzbühel;Kitzbuhel, Austria;2018.07.30;28;Clay;Outdoor;€561,345;Martin Klizan
ATP World Tour Masters 1000 Canada;Toronto, Canada;2018.08.06;56;Hard;Outdoor;$5,939,970;Rafael Nadal
ATP World Tour Masters 1000 Cincinnati;Cincinnati, United States;2018.08.12;56;Hard;Outdoor;$6,335,970;Novak Djokovic
Winston-Salem;Winston-Salem, United States;2018.08.19;48;Hard;Outdoor;$778,070;Daniil Medvedev
US Open;New York, United States;2018.08.27;128;Hard;Outdoor;$25,282,400;Novak Djokovic
St. Petersburg;St. Petersburg, Russia;2018.09.17;28;Hard;Indoor;$1,241,850;Dominic Thiem
Metz;Metz, France;2018.09.17;28;Hard;Indoor;€561,345;Gilles Simon
Chengdu;Chengdu, China;2018.09.24;28;Hard;Outdoor;$1,183,360;Bernard Tomic
Shenzhen;Shenzhen, China;2018.09.24;28;Hard;Outdoor;$800,320;Yoshihito Nishioka
Beijing;Beijing, China;2018.10.01;32;Hard;Outdoor;$4,658,510;Nikoloz Basilashvili
Tokyo;Tokyo, Japan;2018.10.01;32;Hard;Indoor;$1,928,580;Daniil Medvedev
ATP World Tour Masters 1000 Shanghai;Shanghai, China;2018.10.07;56;Hard;Outdoor;$9,219,970;Novak Djokovic
Moscow;Moscow, Russia;2018.10.15;28;Hard;Indoor;$936,435;Karen Khachanov
Antwerp;Antwerp, Belgium;2018.10.15;28;Hard;Indoor;€686,080;Kyle Edmund
Stockholm;Stockholm, Sweden;2018.10.15;28;Hard;Indoor;€686,080;Stefanos Tsitsipas
Vienna;Vienna, Austria;2018.10.22;32;Hard;Indoor;€2,788,570;Kevin Anderson
Basel;Basel, Switzerland;2018.10.22;32;Hard;Indoor;€2,442,740;Roger Federer
ATP World Tour Masters 1000 Paris;Paris, France;2018.10.29;48;Hard;Indoor;€5,444,985;Karen Khachanov
Next Gen ATP Finals;Milan, Italy;2018.11.06;8;Hard;Indoor;$1,335,000;Stefanos Tsitsipas
Nitto ATP Finals;London, Great Britain;2018.11.11;8;Hard;Indoor;$8,500,000;Alexander Zverev
