player_id;player_name;age;country;height;weight;favorite_hand;backhand;turned_Pro;seasons;is_active;prize_money;titles;grand_slams;masters;finals;current_rank;best_rank
6184;Hugo Dellien;26 (16-06-1993);Bolivia, Plurinational State of;;;Right-handed;Two-handed;2009;;Yes ;$397,175;;;;;75 (738);74 (
11769;Nicolas Jarry;;;;;;;;;;;;;;;;
5630;Federico Delbonis;29 (05-10-1990);Argentina;;190 cm;Left-handed;Two-handed;2007;;Yes ;$3,611,278;2;;;;77 (694);33 (
6020;Yasutaka Uchiyama;27 (05-08-1992);Japan;;;Right-handed;Two-handed;;;Yes ;$634,476;;;;;78 (680);78 (
4259;Philipp Kohlschreiber;36 (16-10-1983);Germany;;178 cm;Right-handed;One-handed;2001;;Yes ;US$12,762,058 48th all-time leader in earnings;8;;;;79 (665);16 (
6134;Roberto Carballes Baena;26 (23-03-1993);Spain;;;Right-handed;Two-handed;2011;;Yes ;US$1,575,907;1;;;;80 (664);72 (
44670;Corentin Moutet;20 (19-04-1999);France;;;Left-handed;Two-handed;2016;;Yes ;$650,074;;;;;81 (661);80 (
6282;Gregoire Barrere;25 (16-02-1994);France;;183 cm;Right-handed;Two-handed;2012;;Yes ;$584,781;;;;;82 (648);80 (
36223;Dominik Koepfer;;;;;;;;;;;;;;;;
5438;Steve Johnson;29 (24-12-1989);United States;;188 cm;Right-handed;Two-handed;2012;;Yes ;US$5,516,519;4;;;;84 (630);21 (
26755;Soon Woo Kwon;21 (02-12-1997);Korea, Republic of;;;Right-handed;Two-handed;;;Yes ;$351,464;;;;;85 (627);81 (
5868;Stefano Travaglia;27 (18-12-1991);Italy;;;;Two-handed;2011;;Yes ;$559,197;;;;;86 (627);79 (
45047;Alejandro Davidovich Fokina;20 (05-06-1999);Spain;;;;Two-handed;;;Yes ;$292,812;;;;;87 (627);82 (
6315;Thiago Monteiro;25 (31-05-1994);Brazil;;;Left-handed;Two-handed;2011;;Yes ;US$1,130,183;;;;;88 (616);74 (
11766;Kamil Majchrzak;23 (13-01-1996);Poland;;;Right-handed;Two-handed;2014;;Yes ;$398,255;;;;;89 (611);83 (
26009;Tommy Paul;22 (17-05-1997);United States;;;Right-handed;Two-handed;2015;;Yes ;$627,160;;;;;90 (611);79 (
4728;Kevin Anderson;33 (18-05-1986);South Africa;;203 cm;Right-handed;Two-handed;2007;;Yes ;US$16,293,854 30th all-time leader in earnings;6;;;;91 (610);5 (
4914;Leonardo Mayer;32 (15-05-1987);Argentina;;188 cm;Right-handed;One-handed;2003;;Yes ;US$6,492,427;2;;;;92 (603);21 (
11762;Brayden Schnur;24 (04-07-1995);Canada;;;Right-handed;Two-handed;2016;;Yes ;US$414,637;;;;;93 (602);92 (
5422;Prajnesh Gunneswaran;29 (12-11-1989);India;;;Left-handed;Two-handed;;;Yes ;$628,514;;;;;94 (601);75 (
50813;Jannik Sinner;;;;;;;;;;;;;;;;
45439;Alexei Popyrin;20 (05-08-1999);Australia;;;;Two-handed;2017;;Yes ;US$612,916;;;;;96 (585);87 (
6085;Salvatore Caruso;26 (15-12-1992);Italy;;;Right-handed;Two-handed;2011;;Yes ;$404,813;;;;;97 (585);95 (
44495;Jaume Munar;22 (05-05-1997);Spain;;;;Two-handed;2014;;Yes ;$1,037,912;;;;;98 (568);52 (
44526;Lloyd George Muirhead Harris;22 (24-02-1997);South Africa;;;Right-handed;Two-handed;2015;;Yes ;$562,269;;;;;99 (566);82 (
6064;Egor Gerasimov;26 (11-11-1992);Belarus;;;Right-handed;Two-handed;2010;;Yes ;$360,093;;;;;100 (561);91 (
4606;Tomas Berdych;34 (17-09-1985);Czech Republic;91 kg;196 cm;Right-handed;Two-handed;2002;;Yes ;US$29,491,328 9th all-time leader in earnings;13;;1;;101 (550);4 (
5953;Henri Laaksonen;27 (31-03-1992);Switzerland;;;Right-handed;Two-handed;2009;;Yes ;$946,192;;;;;102 (548);93 (
5986;Damir Dzumhur;27 (20-05-1992);Bosnia and Herzegovina;;172 cm;Right-handed;Two-handed;2011;;Yes ;US$3,869,834;3;;;;103 (545);23 (
6196;Jiri Vesely;26 (10-07-1993);Czech Republic;;;Left-handed;Two-handed;2009;;Yes ;US$ 3,676,231;1;;;;104 (544);35 (
5602;Bradley Klahn;29 (20-08-1990);United States;;190 cm;Left-handed;Two-handed;2012;;Yes ;$1,176,787;;;;;105 (537);63 (
3333;Ivo Karlovic;40 (28-02-1979);Croatia;;208 cm;Right-handed;One-handed;2000;;Yes ;US$9,810,596;8;;;;106 (536);14 (
5209;Yuichi Sugita;31 (18-09-1988);Japan;;173 cm;Right-handed;Two-handed;;;Yes ;$1,843,740;1;;;;107 (519);36 (
5528;Evgeny Donskoy;;;;;;;;;;;;;;;;
5601;Norbert Gombos;29 (13-08-1990);Slovakia;;;Right-handed;Two-handed;;;Yes ;$774,886;;;;;109 (507);80 (
5888;James Duckworth;27 (21-01-1992);Australia;;183 cm;Right-handed;Two-handed;2010;;Yes ;$1,398,973;;;;;110 (503);82 (
6107;Taro Daniel;26 (27-01-1993);Japan;;;Right-handed;Two-handed;;;Yes ;$1,626,003;1;;;;111 (501);64 (
4716;Marcel Granollers;33 (12-04-1986);Spain;;190 cm;Right-handed;Two-handed;2003;;Yes ;$10,759,457;4;;;;112 (497);19 (
5403;Andrej Martin;30 (20-09-1989);Slovakia;;180 cm;Right-handed;Two-handed;2005;;Yes ;$666,041;;;;;113 (497);98 (
6031;Denis Kudla;27 (17-08-1992);United States;;180 cm;Right-handed;Two-handed;2010;;Yes ;$2,940,388;;;;;114 (491);53 (
5934;Federico Coria;27 (09-03-1992);Argentina;;;Right-handed;Two-handed;2010;;;$182,766;;;;;115 (489);115 (
5333;Thomas Fabbiano;30 (26-05-1989);Italy;;;Right-handed;Two-handed;2005;;Yes ;US$1,805,758;;;;;116 (482);70 (
20265;Yannick Maden;30 (28-10-1989);Germany;;;;Two-handed;2013;;Yes ;$551,700;;;;;117 (480);96 (
3893;Paolo Lorenzi;;;;;;;;;;;;;;;;
25953;Gianluca Mager;24 (01-12-1994);Italy;;;Right-handed;Two-handed;;;Yes ;$200,642;;;;;119 (473);118 (
4423;Go Soeda;35 (05-09-1984);Japan;;178 cm;Right-handed;Two-handed;;;Yes ;$1,892,729;;;;;120 (461);47 (
5216;Juan Martin Del Potro;31 (23-09-1988);Argentina;97 kg;198 cm;Right-handed;Two-handed;2005;;Yes ;US$25,889,586  11th all-time leader in earnings;22;1;1;;121 (460);3 (
5367;Peter Gojowczyk;30 (15-07-1989);Germany;;185 cm;Right-handed;Two-handed;2006;;Yes ;US$2,538,046;1;;;;122 (455);39 (
11174;Elias Ymer;23 (10-04-1996);Sweden;;;Right-handed;Two-handed;2014;;Yes ;$914,476;;;;;123 (455);105 (
6204;Marcos Giron;26 (24-07-1993);United States;;;Right-handed;Two-handed;2014;;Yes ;$292,168;;;;;124 (454);123 (
25960;Antonie Hoang;;;;;;;;;;;;;;;;
10580;Dennis Novak;26 (28-08-1993);Austria;;;Right-handed;Two-handed;2011;;Yes ;$709,278;;;;;126 (447);104 (
4913;Andy Murray;32 (15-05-1987);United Kingdom;84 kg;190 cm;Right-handed;Two-handed;2005;;Yes ;US$ 61,259,702  4th all-time leader in earnings;46;3;14;1;127 (442);1 (
5140;Tatsuma Ito;;;;;;;;;;;;;;;;
11548;Sumit Nagal;22 (16-08-1997);India;;;Right-handed;Two-handed;;;Yes ;$216,435;;;;;129 (433);128 (
5351;Jason Jung;30 (15-06-1989);Taiwan, Province of China;;;Right-handed;Two-handed;;;Yes ;$458,991;;;;;130 (429);114 (
11176;Hyeon Chung;23 (19-05-1996);Korea, Republic of;;;Right-handed;Two-handed;2014;;Yes ;US$3,566,408;;;;;131 (428);19 (
17203;Marc Polmans;22 (02-05-1997);Australia;;;;Two-handed;;;Yes ;US$507,297;;;;;132 (427);132 (
11429;Mackenzie Mcdonald;24 (16-04-1995);United States;;;Right-handed;Two-handed;2016;;Yes ;$1,210,098;;;;;133 (425);57 (
5805;Guido Andreozzi;28 (05-08-1991);Argentina;;;Right-handed;Two-handed;2008;;Yes ;$974,869;;;;;134 (422);70 (
5219;Attila Balazs;31 (27-09-1988);Hungary;;180 cm;Right-handed;Two-handed;;;Yes ;$444,731;;;;;135 (411);130 (
5717;Steven Diez;;;;;;;;;;;;;;;;
5148;Pedro Sousa;;;;;;;;;;;;;;;;
5476;Facundo Bagnis;29 (27-02-1990);Argentina;;;Left-handed;Two-handed;2007;;Yes ;US$1,297,523;;;;;138 (397);55 (
5629;Blaz Rola;;;;;;;;;;;;;;;;
6317;Christopher Oconnell;;;;;;;;;;;;;;;;
11164;Zhizhen Zhang;23 (16-10-1996);China;;;;Two-handed;2012;;Yes ;US$188,501;;;;;141 (388);141 (
5364;Martin Klizan;30 (11-07-1989);Slovakia;;190 cm;Left-handed;Two-handed;2007;;Yes ;$4,810,128;6;;;;142 (373);24 (
25609;Ilya Ivashka;;;;;;;;;;;;;;;;
4533;Dudi Sela;34 (04-04-1985);Israel;;175 cm;Right-handed;One-handed;2002;;Yes ;US$3,869,762;;;;;144 (373);29 (
4198;Guillermo Garcia Lopez;36 (04-06-1983);Spain;;188 cm;Right-handed;One-handed;2002;;Yes ;$8,003,533;5;;;;145 (372);23 (
22510;Juan Pablo Varillas Patino Samudio;24 (06-10-1995);Peru;;;Right-handed;Two-handed;;;;$77,631;;;;;146 (372);146 (
45150;Emil Ruusuvuori;20 (02-04-1999);Finland;;;Right-handed;Two-handed;;;;US$7,933;;;;;147 (370);141 (
5863;Emilio Gomez;27 (28-11-1991);Ecuador;;;Right-handed;Two-handed;;;;$272,511;;;;;148 (367);143 (
5827;Lorenzo Giustino;28 (10-09-1991);Italy;;;Right-handed;Two-handed;;;;$387,876;;;;;149 (364);127 (
4659;Sergiy Stakhovsky;33 (06-01-1986);Ukraine;;193 cm;Right-handed;One-handed;2003;;Yes ;US$5,325,081;4;;;;150 (363);31 (
5550;Alessandro Giannessi;29 (30-05-1990);Italy;;183 cm;Left-handed;Two-handed;2008;;Yes ;$656,762;;;;;151 (361);84 (
10726;Nikola Milojevic;;;;;;;;;;;;;;;;
5565;Vasek Pospisil;29 (23-06-1990);Canada;;193 cm;Right-handed;Two-handed;2007;;Yes ;US$5,287,905;;;;;153 (353);25 (
5929;Federico Gaio;;;;;;;;;;;;;;;;
5644;Marius Copil;29 (17-10-1990);Romania;;193 cm;Right-handed;One-handed;2008;;Yes ;US$ 1,910,926;;;;;155 (344);56 (
4585;Lukas Rosol;;;;;;;;;;;;;;;;
4326;Steve Darcis;;;;;;;;;;;;;;;;
6279;Kimmer Coppejans;25 (07-02-1994);Belgium;;;Right-handed;Two-handed;;;Yes ;$409,346;;;;;158 (331);97 (
4677;Viktor Troicki;33 (10-02-1986);Serbia;86 kg;193 cm;Right-handed;Two-handed;2006;;Yes ;US$8,628,325;3;;;;159 (330);12 (
6095;Alex Bolt;;;;;;;;;;;;;;;;
6288;Andrew Harris;25 (07-03-1994);Australia;;;Right-handed;;;;;US$ $76,277;;;;;161 (328);160 (
4894;Robin Haase;;;;;;;;;;;;;;;;
6200;Oscar Otte;26 (16-07-1993);Germany;;;Right-handed;;2011;;Yes ;$446,804;;;;;163 (315);129 (
45308;Rudolf Molleker;19 (26-10-2000);Germany;;;Right-handed;Two-handed;2017;;Yes ;$322,818;;;;;164 (308);146 (
5971;Darian King;27 (26-04-1992);Barbados;;;Right-handed;Two-handed;2010;;Yes ;$598,274;;;;;165 (305);106 (
23950;Sebastian Ofner;23 (12-05-1996);Austria;;;Right-handed;Two-handed;2015;;Yes ;$334,529;;;;;166 (305);126 (
5636;Cedrik Marcel Stebe;29 (09-10-1990);Germany;;183 cm;Left-handed;Two-handed;2010;;Yes ;$1,033,925;;;;;167 (302);71 (
23913;Pedro Martinez Portero;22 (26-04-1997);Spain;;;Right-handed;Two-handed;2016;;Yes ;$325,100;;;;;168 (300);126 (
11426;Mikael Torpegaard;25 (08-05-1994);Denmark;;;Right-handed;Two-handed;2019;;Yes ;US$ 72,127;;;;;169 (299);167 (
4570;Marcos Baghdatis;34 (17-06-1985);Cyprus;;183 cm;Right-handed;Two-handed;2003;;Yes ;$8,918,917;4;;;;170 (294);8 (
5856;Yannick Hanfmann;27 (13-11-1991);Germany;;;;Two-handed;2015;;Yes ;US$484,561;;;;;171 (294);99 (
5891;Danilo Petrovic;27 (24-01-1992);Serbia;;;Right-handed;Two-handed;;;;$240,368;;;;;172 (294);172 (
6096;Filip Horansky;26 (07-01-1993);Slovakia;;;Right-handed;Two-handed;;;;$143,530;;;;;173 (294);161 (
6061;Jozef Kovalik;27 (04-11-1992);Slovakia;;;Right-handed;Two-handed;;;Yes ;$770,744;;;;;174 (292);80 (
6379;Frederico Ferreira Silva;;;;;;;;;;;;;;;;
4794;Denis Istomin;33 (07-09-1986);Uzbekistan;;188 cm;Right-handed;Two-handed;2004;;Yes ;US$5,965,778;2;;;;176 (288);33 (
34653;Tallon Griekspoor;23 (02-07-1996);Netherlands;;;Right-handed;Two-handed;;;Yes ;$301,531;;;;;177 (288);161 (
21372;Mats Moraing;27 (20-06-1992);Germany;;;Left-handed;Two-handed;2013;;Yes ;$273,136;;;;;178 (288);148 (
6202;Bjorn Fratangelo;;;;;;;;;;;;;;;;
26456;Jay Clarke;21 (27-07-1998);United Kingdom;;;Right-handed;Two-handed;2016;;Yes ;$413,857;;;;;180 (287);153 (
6394;Mario Vilella Martinez;24 (03-07-1995);Spain;;;;Two-handed;;;;$104,000;;;;;181 (286);178 (
5034;Lukas Lacko;32 (03-11-1987);Slovakia;;185 cm;Right-handed;Two-handed;2005;;Yes ;US$3,261,567;;;;;182 (284);44 (
46981;Maxime Cressy;22 (08-05-1997);France;;;;Two-handed;;;;$39,679;;;;;183 (282);180 (
5768;Enrique Lopez Perez;28 (03-06-1991);Spain;;;Right-handed;Two-handed;2009;;;US$444,563;;;;;184 (282);154 (
5159;Peter Polansky;31 (15-06-1988);Canada;;180 cm;Right-handed;Two-handed;2007;;Yes ;US$1,447,596;;;;;185 (281);110 (
11433;Quentin Halys;23 (26-10-1996);France;;;Right-handed;Two-handed;2012;;Yes ;$778,004;;;;;186 (279);102 (
6057;Bernard Tomic;27 (21-10-1992);Australia;;193 cm;Right-handed;Two-handed;2008;;Yes ;US$5,950,393;4;;;;187 (273);17 (
11477;Enzo Couacaud;24 (01-03-1995);France;;;Right-handed;Two-handed;2012;;;$238,170;;;;;188 (271);164 (
21919;Dmitry Popko;23 (24-10-1996);Kazakhstan;;;Right-handed;Two-handed;;;;$197,321;;;;;189 (268);178 (
5396;Roberto Marcora;30 (30-08-1989);Italy;;;Right-handed;One-handed;2009;;;$184,328;;;;;190 (267);178 (
10756;Joao Lucas Magalhaes Hueb De Menezes;;;;;;;;;;;;;;;;
6235;Joao Domingues;;;;;;;;;;;;;;;;
23589;Daniel Elahi Galan Riveros;23 (18-06-1996);Colombia;;;;Two-handed;;;Yes ;$184,282;;;;;193 (263);166 (
4807;Zhe Li;33 (20-09-1986);China;;;Right-handed;Two-handed;2004;;Yes ;$ 544,642;;;;;194 (261);194 (
3917;Nicolas Mahut;;;;;;;;;;;;;;;;
6269;Mitchell Krueger;;;;;;;;;;;;;;;;
6058;Alexey Vatutin;27 (27-10-1992);Russian Federation;;;;Two-handed;;;Yes ;$310,368;;;;;197 (258);136 (
4893;Matthias Bachinger;;;;;;;;;;;;;;;;
6354;Ramkumar Ramanathan;;;;;;;;;;;;;;;;
22139;Botic Van De Zandschulp;24 (04-10-1995);Netherlands;;;;Two-handed;;;;$52,684;;;;;200 (257);200 (
6409;Thanasi Kokkinakis;;;;;;;;;;;;;;;;
