player_id,player_name,age,country,favorite_hand,backhand,turned_pro,prize_money,titles,cluster_level,cluster_piso,cluster_pressao,cluster_saque,cluster_duplafalta,cluster_servico,cluster_retorno,cluster_bpcontra,cluster_bpfavor,cluster_pontos,cluster_game,cluster_match,cluster_tiebreak,cluster_upset,cluster_dominance,cluster_rodada,cluster_velocidade,cluster_oponente,hard,clay,grass,grand_slam,tour_finals,masters.1,atp_500,final,semi_final,quarter_final,round_of_16,round_of_32,round_of_64,round_of_128
26007,Taylor Harry Fritz,22,United States,Right-handed,Two-handed,2015,2722314,1,0,0,0,0,1,2,2,2,1,0,1,0,0,2,1,1,2,0,50.0,51.9,43.5,36.4,0.0,44.1,36.8,25.0,57.1,43.8,55.6,44.8,60.7,45.5
6412,Christian Garin,23,Chile,Right-handed,Two-handed,2013,1119730,2,2,3,0,2,1,1,2,0,2,0,1,0,0,2,1,1,1,1,40.7,62.8,28.6,25.0,0.0,60.0,33.3,66.7,100.0,50.0,46.2,52.4,57.1,33.3
5571,Dusan Lajovic,29,Serbia,Right-handed,One-handed,2007,4668292,1,2,3,0,2,1,1,2,0,2,0,1,0,2,2,1,1,2,0,39.5,51.1,25.0,41.0,0.0,43.2,39.4,50.0,33.3,25.0,47.1,47.4,33.3,52.9
5515,Jan Lennard Struff,29,Germany,Right-handed,Two-handed,2009,5049507,0,2,0,1,0,2,2,2,0,1,0,1,0,2,2,1,2,1,0,47.6,46.2,37.5,37.5,0.0,52.0,37.0,0.0,0.0,36.8,35.2,51.9,57.1,42.4
27835,Hubert Hurkacz,22,Poland,Right-handed,Two-handed,2015,1517157,1,2,0,2,0,2,2,2,2,1,2,1,0,2,2,1,1,2,0,47.9,35.7,50.0,36.4,0.0,54.5,40.0,100.0,100.0,25.0,50.0,36.4,53.3,55.6
11485,Laslo Djere,24,Serbia,Right-handed,Two-handed,2013,1925547,1,2,3,0,2,2,1,2,0,1,2,1,3,0,2,0,0,1,0,19.2,60.0,20.0,30.8,0.0,33.3,50.0,100.0,0.0,77.8,56.3,46.7,36.4,30.0
5220,Marin Cilic,31,Croatia,Right-handed,Two-handed,2005,27022364,18,1,2,1,0,1,2,2,2,2,2,2,1,0,0,1,0,1,1,65.3,62.2,70.1,72.1,16.7,53.9,65.4,56.3,57.1,52.9,65.8,67.7,68.9,86.0
5922,Filip Krajinovic,27,Serbia,Right-handed,Two-handed,2008,2874463,0,2,3,1,2,1,1,2,0,2,0,1,0,2,2,1,1,2,0,50.6,45.7,0.0,27.8,0.0,48.1,54.2,0.0,60.0,36.4,50.0,58.5,50.0,33.3
5070,Albert Ramos,31,Spain,Left-handed,Two-handed,2007,7062030,2,2,0,1,2,1,1,2,0,2,0,1,0,2,2,1,1,1,0,37.7,54.7,33.3,38.9,0.0,49.5,42.7,25.0,53.3,34.9,46.7,44.9,58.1,51.2
5543,Daniel Evans,29,United Kingdom,Right-handed,One-handed,2006,2182736,0,2,0,0,2,2,1,2,0,2,2,1,3,0,1,1,1,2,0,48.1,30.8,42.3,51.9,0.0,25.0,40.0,0.0,66.7,60.0,35.7,41.2,59.1,52.9
5166,Adrian Mannarino,0,0,0,0,0,0,0,2,0,1,2,1,1,2,0,2,0,1,0,2,2,1,1,2,0,46.3,26.4,59.0,42.6,0.0,41.4,40.0,11.1,60.0,41.7,45.1,48.9,41.6,54.0
5016,Sam Querrey,32,United States,Right-handed,Two-handed,2006,11912152,10,2,2,0,1,2,2,2,2,1,0,2,0,0,2,1,0,1,0,56.3,45.4,64.2,53.7,0.0,47.0,56.2,52.6,50.0,58.2,51.6,55.3,56.9,62.1
4654,Pablo Cuevas,0,0,0,0,0,0,0,1,0,0,0,1,2,2,0,2,0,1,0,0,2,1,1,1,0,41.7,60.5,41.2,38.9,0.0,42.5,50.7,60.0,47.6,48.8,53.1,55.8,38.5,53.8
5420,Radu Albot,29,"Moldova, Republic of",Right-handed,Two-handed,2008,2935790,1,1,0,1,2,2,0,2,0,1,2,1,0,0,3,0,0,2,0,42.3,43.8,50.0,34.6,0.0,43.5,33.3,100.0,20.0,71.4,28.0,40.3,45.0,43.5
26011,Frances Tiafoe,21,United States,Right-handed,Two-handed,2015,2990769,1,0,0,0,0,1,1,2,0,1,2,1,3,2,2,0,1,2,0,43.2,37.0,46.2,40.0,0.0,45.9,33.3,50.0,100.0,22.2,37.5,47.9,40.7,42.9
22171,Alexander Bublik,22,Russian Federation,Right-handed,Two-handed,0,770281,0,0,0,1,1,0,1,2,1,2,2,0,0,0,3,0,1,2,0,43.3,50.0,50.0,44.4,0.0,33.3,20.0,0.0,100.0,50.0,80.0,31.3,28.6,66.7
5349,John Millman,30,Australia,Right-handed,Two-handed,2006,2752962,0,0,0,0,2,1,1,2,0,2,2,1,0,2,2,1,1,2,0,44.4,38.5,43.5,45.7,0.0,35.0,47.4,0.0,66.7,33.3,30.0,46.0,50.0,52.2
4269,Fernando Verdasco,35,Spain,Left-handed,Two-handed,2001,15.171.205,7,2,2,1,2,0,2,1,2,2,0,2,1,0,0,1,0,1,0,53.7,61.5,54.8,62.7,0.0,50.2,56.0,30.4,46.9,47.6,49.8,58.7,62.3,82.2
6214,Juan Ignacio Londero,26,Argentina,Right-handed,Two-handed,2010,944760,1,0,3,1,2,1,2,2,2,1,0,1,0,2,2,1,1,2,0,23.1,60.0,33.3,57.1,0.0,25.0,28.6,50.0,100.0,100.0,18.2,55.0,33.3,66.7
4868,Jeremy Chardy,32,France,Right-handed,Two-handed,2005,8658443,1,2,0,1,0,2,2,2,2,1,0,1,0,2,2,1,0,1,0,48.0,52.6,48.3,52.5,0.0,46.1,46.2,33.3,21.4,28.6,45.3,52.6,48.7,69.8
32068,Lorenzo Sonego,24,Italy,Right-handed,Two-handed,2013,1161924,1,0,0,1,0,1,2,0,2,1,2,1,3,0,2,0,1,1,0,35.3,46.7,62.5,33.3,0.0,41.7,0.0,100.0,50.0,40.0,45.5,52.6,20.0,57.1
11787,Cameron Norrie,24,United Kingdom,Left-handed,Two-handed,2017,1614496,0,2,0,2,2,2,1,2,2,2,0,1,0,2,2,1,0,2,0,50.9,45.5,35.7,30.8,0.0,35.7,35.7,0.0,16.7,75.0,44.4,58.6,40.0,30.8
44831,Ugo Humbert,21,France,Left-handed,Two-handed,2016,898575,0,0,0,2,0,2,2,2,2,2,2,1,3,2,2,1,0,0,0,40.7,20.0,60.0,44.4,0.0,0.0,0.0,0.0,0.0,100.0,30.0,60.0,25.0,28.6
34555,Casper Ruud,20,Norway,Right-handed,Two-handed,2015,1279962,0,2,3,1,2,2,1,2,2,2,0,1,0,2,3,1,1,2,2,26.1,58.7,0.0,40.0,0.0,25.0,50.0,0.0,25.0,57.1,53.8,54.2,33.3,37.5
4467,Gilles Simon,34,France,Right-handed,Two-handed,2002,14523362,14,1,2,1,2,1,1,1,0,2,0,2,1,0,0,1,0,1,1,58.1,57.6,57.3,61.4,50.0,53.5,52.1,63.6,42.0,51.5,52.5,57.1,66.7,78.3
4664,Pablo Andujar,33,Spain,Right-handed,Two-handed,2004,5000406,4,2,3,1,2,2,0,1,0,2,0,1,0,2,2,0,1,1,0,29.8,51.0,11.8,34.7,0.0,37.5,45.0,44.4,64.3,54.2,44.4,34.8,42.6,41.5
5370,Aljaz Bedene,30,Slovenia,Right-handed,Two-handed,2008,3591892,0,2,0,1,0,1,1,2,0,2,0,1,0,0,2,0,1,1,0,46.1,49.0,39.3,27.8,0.0,40.7,47.1,0.0,57.1,42.1,38.8,55.8,53.8,29.4
45001,Miomir Kecmanovic,20,Serbia,Right-handed,Two-handed,2017,1002656,0,0,0,0,2,1,2,2,2,2,0,1,0,2,1,1,1,2,0,50.0,25.0,60.0,42.9,0.0,54.5,33.3,0.0,100.0,33.3,30.0,66.7,37.5,66.7
5303,Joao Sousa,30,Portugal,Right-handed,Two-handed,2008,6119457,3,1,0,1,2,1,1,2,0,2,0,1,0,0,2,0,1,1,0,46.4,50.6,41.2,47.2,0.0,37.3,30.0,30.0,52.6,57.6,50.8,39.9,46.2,55.3
4752,Richard Gasquet,33,France,Right-handed,One-handed,2002,17648594,15,1,2,0,0,1,2,1,0,2,0,2,1,0,0,1,0,1,0,62.1,62.3,67.3,64.6,16.7,57.6,57.1,48.4,49.2,58.3,56.9,66.1,78.8,66.1
3852,Feliciano Lopez,38,Spain,Left-handed,One-handed,1997,16819301,7,1,2,1,0,2,2,0,2,1,2,1,0,0,2,1,0,1,0,51.0,49.4,65.3,57.1,0.0,46.0,55.7,38.9,47.4,42.7,48.0,52.2,57.6,64.7
11415,Jordan Thompson,25,Australia,Right-handed,Two-handed,2013,1907200,0,2,0,2,0,1,1,2,0,2,2,1,3,2,2,0,1,2,1,42.4,38.9,38.1,28.0,0.0,36.4,46.7,0.0,50.0,33.3,30.0,56.3,29.4,36.4
5718,Pierre Hugues Herbert,0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,1,2,1,0,2,2,0,1,2,0,42.1,46.7,50.0,41.2,0.0,35.1,45.8,0.0,50.0,60.0,30.3,54.5,35.1,51.9
5564,Ricardas Berankis,29,Lithuania,Right-handed,Two-handed,2007,2765391,0,2,1,1,2,2,1,2,0,1,0,1,0,2,2,0,1,2,0,52.1,20.0,21.1,31.6,0.0,11.1,33.3,0.0,66.7,15.8,47.4,56.7,16.0,34.4
5055,Mikhail Kukushkin,31,Kazakhstan,Right-handed,Two-handed,2006,4997728,1,2,0,1,2,1,1,2,0,2,0,1,0,2,2,1,1,2,0,47.7,37.6,40.5,42.4,0.0,40.0,39.0,25.0,44.4,50.0,36.0,39.4,45.6,47.1
6364,Kyle Edmund,24,United Kingdom,Right-handed,Two-handed,2011,4965000,1,1,0,0,0,1,2,2,2,2,0,1,0,2,0,1,0,1,0,51.6,51.0,36.7,52.4,0.0,42.6,46.9,50.0,22.2,40.0,58.8,47.6,54.3,51.9
5801,Tennys Sandgren,28,United States,Right-handed,Two-handed,2011,1937788,1,0,0,1,0,1,2,2,0,2,2,1,3,2,2,0,1,2,1,44.2,33.3,50.0,50.0,0.0,14.3,37.5,50.0,100.0,33.3,66.7,30.0,54.5,35.7
6401,Yoshihito Nishioka,24,Japan,Left-handed,Two-handed,0,1703096,1,2,1,0,2,1,0,1,0,2,0,1,0,0,1,0,1,2,0,51.6,20.0,0.0,28.6,0.0,59.1,35.3,100.0,50.0,25.0,56.3,50.0,30.0,52.4
5902,Marton Fucsovics,27,Hungary,Right-handed,Two-handed,2009,2565227,1,2,0,1,2,2,1,1,0,2,2,2,3,2,2,1,1,2,0,50.0,52.2,30.8,35.3,0.0,40.0,51.9,50.0,100.0,11.1,40.0,57.1,47.6,38.5
6051,Marco Cecchinato,27,Italy,Right-handed,One-handed,2010,2802848,3,2,3,0,2,1,1,2,0,1,0,0,0,0,2,0,1,1,0,20.6,44.1,25.0,31.3,0.0,29.2,7.7,100.0,42.9,77.8,50.0,20.5,36.8,9.1
44483,Mikael Ymer,21,Sweden,Right-handed,Two-handed,2015,379322,0,2,3,1,2,2,0,1,0,2,0,1,0,2,3,1,2,0,2,37.5,50.0,0.0,50.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,44.4,0.0,50.0
4311,Andreas Seppi,0,0,0,0,0,0,0,1,0,1,2,1,1,2,0,2,0,1,0,2,0,1,0,1,0,45.9,49.6,55.8,49.6,0.0,41.8,43.2,33.3,29.0,44.1,50.0,45.9,50.7,60.3
6184,Hugo Dellien,26,"Bolivia, Plurinational State of",Right-handed,Two-handed,2009,397175,0,2,3,0,2,1,0,1,0,1,0,0,0,0,0,0,2,2,2,33.3,48.1,0.0,40.0,0.0,50.0,33.3,0.0,0.0,0.0,75.0,33.3,25.0,66.7
11769,Nicolas Jarry,0,0,0,0,0,0,0,2,0,0,0,1,2,0,2,2,2,1,0,0,2,1,1,2,1,34.4,58.6,40.0,16.7,0.0,40.0,42.1,33.3,50.0,54.5,66.7,55.2,20.0,28.6
5630,Federico Delbonis,29,Argentina,Left-handed,Two-handed,2007,3611278,2,2,3,0,2,2,1,2,0,2,0,1,0,2,2,1,1,1,0,31.6,55.2,0.0,23.3,0.0,36.6,53.8,50.0,28.6,51.9,54.0,51.7,25.0,41.2
6020,Yasutaka Uchiyama,27,Japan,Right-handed,Two-handed,0,634476,0,2,1,2,0,1,2,0,0,1,3,1,0,2,3,1,2,0,0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,66.7,50.0,0.0,0.0
4259,Philipp Kohlschreiber,36,Germany,Right-handed,One-handed,2001,12762058,8,1,2,1,0,1,2,2,2,2,0,2,1,0,0,1,0,1,0,54.1,57.0,60.4,54.1,0.0,49.7,50.4,44.4,43.9,44.3,53.4,59.2,61.9,63.2
6134,Roberto Carballes Baena,26,Spain,Right-handed,Two-handed,2011,1575907,1,0,3,0,2,2,1,1,0,2,0,1,3,0,2,1,1,1,2,40.0,50.0,16.7,20.0,0.0,28.6,37.5,100.0,50.0,22.2,36.0,64.1,30.8,36.4
44670,Corentin Moutet,20,France,Left-handed,Two-handed,2016,650074,0,0,0,0,2,0,0,2,1,2,2,0,3,0,2,0,2,0,2,11.1,33.3,50.0,40.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,14.3,33.3,50.0
6282,Gregoire Barrere,25,France,Right-handed,Two-handed,2012,584781,0,0,0,0,2,2,0,2,1,2,2,0,2,0,3,0,2,0,2,33.3,20.0,33.3,33.3,0.0,0.0,0.0,0.0,0.0,0.0,33.3,28.6,0.0,50.0
36223,Dominik Koepfer,0,0,0,0,0,0,0,0,0,2,2,2,1,2,2,1,1,0,3,0,1,0,2,0,0,44.4,0.0,50.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,33.3,100.0
5438,Steve Johnson,29,United States,Right-handed,Two-handed,2012,5516519,4,1,0,0,0,1,2,0,2,1,0,1,0,2,2,1,1,2,0,49.0,50.0,55.4,45.5,0.0,36.2,50.9,66.7,40.0,40.0,56.3,51.9,51.9,47.4
26755,Soon Woo Kwon,21,"Korea, Republic of",Right-handed,Two-handed,0,351464,0,0,1,2,2,2,1,2,0,1,2,1,3,1,2,0,2,0,2,41.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0
5868,Stefano Travaglia,27,Italy,0,Two-handed,2011,559197,0,0,3,2,0,2,1,2,0,2,1,1,3,2,3,1,2,0,1,33.3,40.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,54.5,0.0,33.3
6315,Thiago Monteiro,25,Brazil,Left-handed,Two-handed,2011,1130183,0,2,0,2,2,1,1,0,0,2,0,0,3,0,2,0,2,1,0,20.0,45.5,33.3,22.2,0.0,0.0,46.7,0.0,0.0,16.7,35.3,50.0,16.7,20.0
11766,Kamil Majchrzak,23,Poland,Right-handed,Two-handed,2014,398255,0,2,3,1,2,2,1,2,0,1,2,0,3,0,3,0,2,0,2,41.7,50.0,25.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,100.0,33.3
26009,Tommy Paul,22,United States,Right-handed,Two-handed,2015,627160,0,0,3,2,2,1,1,2,0,1,0,1,0,2,1,0,2,2,2,45.5,33.3,0.0,0.0,0.0,40.0,55.6,0.0,0.0,0.0,66.7,27.3,100.0,0.0
4728,Kevin Anderson,33,South Africa,Right-handed,Two-handed,2007,16293854,6,1,2,1,1,2,2,0,2,1,2,2,1,0,0,1,0,2,0,61.2,53.4,59.1,64.0,50.0,54.4,58.0,31.6,63.3,43.9,54.7,60.9,69.7,69.4
4914,Leonardo Mayer,32,Argentina,Right-handed,One-handed,2003,6492427,2,2,0,0,0,2,2,2,2,1,0,1,0,0,2,1,1,1,0,43.8,54.1,45.7,47.9,0.0,46.4,48.3,40.0,62.5,25.9,40.0,48.5,52.5,57.1
11762,Brayden Schnur,24,Canada,Right-handed,Two-handed,2016,414637,0,0,1,0,0,2,1,0,2,1,2,0,2,2,2,0,1,0,2,26.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,25.0,0.0,0.0
5422,Prajnesh Gunneswaran,29,India,Left-handed,Two-handed,0,628514,0,2,1,0,2,2,1,0,1,1,3,0,2,0,0,0,2,0,0,33.3,0.0,33.3,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,27.3,100.0,16.7
50813,Jannik Sinner,0,0,0,0,0,0,0,0,3,2,2,1,1,2,1,1,3,1,0,1,1,0,0,0,0,50.0,42.9,0.0,0.0,0.0,50.0,50.0,0.0,0.0,100.0,25.0,50.0,100.0,0.0
45439,Alexei Popyrin,20,Australia,0,Two-handed,2017,612916,0,0,0,2,0,2,2,0,2,1,2,0,3,0,3,0,2,0,0,35.7,25.0,33.3,54.5,0.0,33.3,16.7,0.0,0.0,0.0,33.3,17.6,37.5,83.3
6085,Salvatore Caruso,26,Italy,Right-handed,Two-handed,2011,404813,0,0,3,2,2,1,0,1,0,2,0,1,3,0,3,0,0,2,0,33.3,50.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,100.0,33.3,37.5,50.0,33.3
44495,Jaume Munar,22,Spain,0,Two-handed,2014,1037912,0,0,3,1,2,1,1,2,0,1,2,1,3,0,2,0,2,1,0,33.3,51.2,0.0,22.2,0.0,33.3,46.2,0.0,0.0,16.7,46.2,59.1,36.4,33.3
44526,Lloyd George Muirhead Harris,22,South Africa,Right-handed,Two-handed,2015,562269,0,2,1,1,0,1,1,2,0,2,0,1,0,2,3,1,0,0,2,53.6,16.7,0.0,16.7,0.0,0.0,50.0,0.0,0.0,100.0,25.0,36.4,50.0,20.0
6064,Egor Gerasimov,26,Belarus,Right-handed,Two-handed,2010,360093,0,2,3,0,0,2,2,2,0,1,2,2,1,0,1,1,0,0,0,63.0,62.5,0.0,50.0,0.0,0.0,50.0,0.0,0.0,25.0,66.7,66.7,0.0,100.0
4606,Tomas Berdych,34,Czech Republic,Right-handed,Two-handed,2002,29491328,13,1,2,1,0,1,2,1,2,2,0,2,1,0,0,2,0,1,1,65.0,63.4,68.4,70.5,31.6,62.0,63.3,40.6,41.6,54.7,66.2,73.8,76.2,76.6
5953,Henri Laaksonen,27,Switzerland,Right-handed,Two-handed,2009,946192,0,2,3,1,0,0,1,2,0,2,2,1,0,2,3,1,2,2,2,46.3,44.4,0.0,37.5,0.0,50.0,25.0,0.0,0.0,50.0,26.7,50.0,16.7,66.7
